"terme","beta","SE","z","p_value","IC95_inf","IC95_sup","ratio","ratio_IC95_inf","ratio_IC95_sup","modele","reponse","source","vent","version"
"heure17",-0.902001711915045,0.286958479556527,-3.14331785319264,0.00167044342030742,-1.46444033184584,-0.339563091984253,0.405756638397127,0.23120735466714,0.712081368866316,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure18",-0.184774616246228,0.284985816539036,-0.648364253667754,0.516749384752802,-0.743346816662739,0.373797584170283,0.831291622366132,0.475519771859852,1.45324296130379,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure19",-0.158208235008588,0.276439357820151,-0.572307200595932,0.567113872367869,-0.700029376336085,0.383612906318909,0.853671999062756,0.496570716148897,1.46757724183897,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure20",0.0837739512069325,0.282226377289036,0.296832464816488,0.766594418561857,-0.469389748279577,0.636937650693442,1.08738306439584,0.625383793393526,1.89068207591184,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG2",-5.19794452665637,0.450059866712571,-11.5494513310515,7.42931990320954e-31,-6.080061865413,-4.31582718789973,0.00552791523352622,0.00228803509830722,0.0133554974098339,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG4",-6.07973997827916,0.601408348795719,-10.109171231915,5.03080346953005e-24,-7.25850034191877,-4.90097961463955,0.00228877170591304,0.000704163248285405,0.00743929186100447,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG5",-7.40796956966274,0.673014834802743,-11.0071415763576,3.53026919950596e-28,-8.72707864587612,-6.08886049344936,0.000606400699769856,0.000162135420019673,0.00226799183446006,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG6",-10.6436850414313,0.640640871040357,-16.614121144264,5.50760653102058e-62,-11.8993411486704,-9.38802893419222,2.38509850062265e-05,6.79488014874562e-06,8.37203119575642e-05,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG7",-1.63772264839811,0.454133968540795,-3.60625445760065,0.000310648528400034,-2.52782522673807,-0.747620070058156,0.194422306455295,0.0798324491091163,0.473492090863087,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG8",-2.43925190246055,0.643768801647091,-3.78901850512124,0.000151243648669121,-3.70103875368885,-1.17746505123225,0.0872260806763613,0.0246978581498562,0.308058662576916,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"groupeG9",-2.55308557949966,0.440902783726042,-5.79058621023821,7.01411845945744e-09,-3.4172550356027,-1.68891612339661,0.0778411101312284,0.0328023527624288,0.184719628812789,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"(Intercept)",3.53568105804704,0.0914890074364753,38.6459658610026,0,3.35636260347155,3.71499951262253,34.3183795654801,28.684663395482,41.0585670733673,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"temperature_z",-0.0508699769382026,0.0279606319979894,-1.81934288687969,0.0688591342356186,-0.105672815654262,0.00393286177785665,0.950402236707782,0.899718973887719,1.00394060562724,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"humidite_z",0.0754246899629148,0.0236305977499421,3.19182319300829,0.00141377845081363,0.0291087183730283,0.121740661552801,1.0783420146829,1.02953651792615,1.12946115109418,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"pression_z",-0.0143904770997484,0.0214689680351749,-0.670291980321132,0.502671678453984,-0.0564696544486911,0.0276887002491943,0.985712570920238,0.94509516349378,1.02807559492561,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"rafale_IC_max_z",-0.0237806086175046,0.0137290163262285,-1.73214220541593,0.0832482461999165,-0.0506894806169124,0.00312826338190316,0.976499921926776,0.950573796297726,1.003133161504,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"direction_IC_sin",0.0362421502235337,0.0207056921039094,1.75034720122642,0.0800584207444154,-0.00434100630012862,0.076825306747196,1.03690690333139,0.995668402248607,1.07985341680837,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"direction_IC_cos",0.0189249932742298,0.0220587576133013,0.85793559211232,0.390928029436057,-0.0243101716478408,0.0621601581963004,1.01910520600587,0.975982940568187,1.06413276066449,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"pluie",0.0122404188106034,0.0327405054351297,0.373861632492387,0.708507262715085,-0.0519309718422507,0.0764118094634576,1.01231563933385,0.94939439952744,1.07940699265763,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"saisonete",0.242126007977974,0.0767984974469485,3.15274407738552,0.00161743540964008,0.0916009529819551,0.392651062973993,1.27395471115987,1.09592740824802,1.4809015577783,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"saisonprintemps",0.060135098689037,0.0872696768614406,0.689072090693247,0.490777902230607,-0.110913467959387,0.231183665337461,1.06198000896134,0.895016193155855,1.26009065317229,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure10",-0.0816434619129994,0.0361463740656631,-2.25869022891997,0.0239026606990965,-0.152490355081699,-0.0107965687442998,0.921600485800842,0.858567174726717,0.989261505017003,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure11",-0.115830343943269,0.038994287872554,-2.97044388454637,0.0029736972797972,-0.192259148173475,-0.039401539713063,0.890626310628552,0.82509301943465,0.961364605565726,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure12",-0.0895151925466987,0.0417439685904296,-2.14438625673031,0.0320019505285734,-0.171333370983941,-0.00769701410945678,0.914374373343412,0.84254064804318,0.992332532049312,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure13",-0.0755510907289338,0.0440443027975011,-1.71534309616135,0.0862823416121522,-0.161877924212036,0.0107757427541685,0.927232356346842,0.850545029157501,1.01083401017362,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure14",-0.125697533123202,0.0461916874582404,-2.72121544026378,0.00650423566314724,-0.216233240541354,-0.0351618257050512,0.881881546404528,0.805547393650243,0.965449169123022,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure15",-0.0821131351799683,0.0471413874297272,-1.74184807993555,0.0815350310240993,-0.174510254542234,0.0102839841822971,0.921167736323221,0.839868241720696,1.01033704608757,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure16",-0.084282456830124,0.0475730143235849,-1.77164424051095,0.0764536309790118,-0.17752556490435,0.00896065124410235,0.919171593130526,0.837339592555531,1.0090009180619,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure17",-0.12897090297702,0.0467488224899465,-2.75880537963828,0.00580130733966058,-0.220598595057315,-0.0373432108967244,0.878999541443347,0.802038557925612,0.963345447949494,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure18",-0.186301417731468,0.0444441713343454,-4.19180765752064,2.76740576727463e-05,-0.273411993546785,-0.0991908419161513,0.830023373510924,0.7607792868965,0.905569870842423,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure19",-0.252405891385631,0.0424352099325036,-5.94802975611767,2.71389267329332e-09,-0.335578902853338,-0.169232879917924,0.776929325141262,0.714924094935237,0.844312257120299,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"heure20",-0.195491886539045,0.0418063814847033,-4.67612550037544,2.92345734911011e-06,-0.277432394249063,-0.113551378829026,0.822430016290938,0.757726789560017,0.89265833149316,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG2",-2.71608674197705,0.0903769598099889,-30.052866877658,2.00288984431723e-198,-2.89322558320462,-2.53894790074947,0.0661330443856879,0.0553972357211114,0.0789494187352137,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG4",-3.0991765179729,0.222745990015715,-13.9135008345347,5.24481382472796e-44,-3.5357586584037,-2.6625943775421,0.0450863148806998,0.0291366438425886,0.0697669848491725,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG5",-2.06208692225871,0.264032531136223,-7.80997293547444,5.72002673241425e-15,-2.57959068328571,-1.54458316123172,0.127188260721715,0.0758050259376617,0.213400806415106,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG6",-5.18230052456737,1.03043753662517,-5.02922335451807,4.92470467194641e-07,-7.2019580963527,-3.16264295278204,0.00561507392883646,0.000745125351752345,0.0423137598957687,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG7",-1.39767701720451,0.0753192138320791,-18.5567127708021,7.1976282310832e-77,-1.54530267631539,-1.25005135809364,0.247170470311078,0.213247316541784,0.286490082897849,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG8",-1.32001648808032,0.160581185171622,-8.22024377681322,2.03089937693694e-16,-1.63475561101669,-1.00527736514394,0.267130897453848,0.195000021333332,0.365943120860061,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"groupeG9",0.734931772135396,0.0719565536698831,10.213548796501,1.72440070512191e-24,0.593896926942425,0.875966617328366,2.0853397093759,1.81103214198775,2.40119520944946,"intensite_IC_rafale_max_sans_2202_2024","intensite","IC","rafale_max","sans_2202_2024"
"(Intercept)",23.5215633135915,3103.60533368164,0.00757878685744142,0.993953060864246,-6059.54489070242,6106.5880173296,16416673195.4958,0,Inf,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"temperature_z",-0.102790080313298,0.167827668931609,-0.612473979813102,0.540224208355909,-0.431732311419251,0.226152150792655,0.902316367571234,0.649383185884132,1.2537664123201,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"humidite_z",0.0761352592114413,0.145247172510011,0.524177220773049,0.600155283003132,-0.208549198908181,0.360819717331063,1.07910852365452,0.811761095960456,1.43450482120736,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"pression_z",-0.220944258218051,0.121386927687467,-1.82016517286699,0.0687338550666501,-0.458862636485488,0.0169741200493847,0.801761370652121,0.632002052960403,1.01711899899516,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"vent_MR_moyen_z",0.0387871036124841,0.0895232428768984,0.433262942293315,0.664823756765929,-0.136678452426237,0.214252659651205,1.0395491438324,0.872250651125288,1.23893564429963,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"direction_MR_sin",0.244685347093643,0.123735429460365,1.97748816293574,0.047986477212461,0.00216390535132674,0.487206788835959,1.27721936918521,1.00216624828417,1.62776317783085,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
"direction_MR_cos",-0.130646653358396,0.133494015946087,-0.978670485208562,0.327742819921916,-0.392294924612726,0.131001617895934,0.877527791114038,0.67550486157016,1.13996962566272,"presence_MR_moyen_sans_2202_2024","presence","MR","moyen","sans_2202_2024"
