ruche;annee;semaine;n_videos;presence;intensite;n_positives;ic_intensite;date_semaine;presence_pct;ic_presence;presence_inf;presence_sup
2206;2023;25;83;0.6746987951807228;65.53571428571429;56;11.778859876915085;2023-06-19;67.46987951807229;10.07893926949723;57.39094024857506;77.54881878756952
2206;2023;26;84;0.9642857142857143;81.64197530864197;81;9.086274333243216;2023-06-26;96.42857142857143;3.9686269665968847;92.45994446197454;100.0
2206;2023;27;84;0.9166666666666666;116.6103896103896;77;13.884050600240206;2023-07-03;91.66666666666666;5.91059939305526;85.7560672736114;97.57726605972192
2206;2023;28;84;0.8690476190476191;116.56164383561644;73;12.166526654841824;2023-07-10;86.90476190476191;7.214311907333664;79.69044999742825;94.11907381209558
2206;2023;29;83;0.9759036144578314;73.91358024691358;81;6.873571547102586;2023-07-17;97.59036144578313;3.299107294809566;94.29125415097357;100.0
2206;2023;30;84;0.9642857142857143;55.23456790123457;81;4.4752235959565;2023-07-24;96.42857142857143;3.9686269665968847;92.45994446197454;100.0
2206;2023;31;82;0.9878048780487805;59.901234567901234;81;5.605674129647351;2023-07-31;98.78048780487805;2.3756245365369435;96.4048632683411;100.0
2206;2023;32;84;0.9523809523809523;85.275;80;14.023230274409455;2023-08-07;95.23809523809523;4.55420034042649;90.68389489766874;99.79229557852172
2206;2023;33;67;0.9850746268656716;94.48484848484848;66;12.611780279435932;2023-08-14;98.50746268656717;2.903459918409516;95.60400276815766;100.0
2206;2023;34;72;0.9722222222222222;73.6;70;11.855475237266925;2023-08-21;97.22222222222221;3.795957527793491;93.42626469442872;100.0
2206;2023;35;78;0.8717948717948718;59.279411764705884;68;9.373765841194817;2023-08-28;87.17948717948718;7.419397231860664;79.76008994762651;94.59888441134785
2206;2023;36;84;0.9523809523809523;40.0625;80;4.974648710643175;2023-09-04;95.23809523809523;4.55420034042649;90.68389489766874;99.79229557852172
2206;2023;37;76;0.9868421052631579;63.50666666666667;75;10.148330969992875;2023-09-11;98.68421052631578;2.561924427481075;96.1222860988347;100.0
2206;2023;38;84;1.0;85.23809523809524;84;9.352087984259345;2023-09-18;100.0;0.0;100.0;100.0
2206;2023;39;84;0.9761904761904762;63.13414634146341;82;7.618333266610907;2023-09-25;97.61904761904762;3.260311278026937;94.35873634102069;100.0
2206;2023;40;84;1.0;97.52380952380952;84;16.9323815942258;2023-10-02;100.0;0.0;100.0;100.0
2206;2023;41;84;1.0;81.54761904761905;84;11.045181810707918;2023-10-09;100.0;0.0;100.0;100.0
2206;2023;42;84;0.9880952380952381;120.27710843373494;83;11.453447277478837;2023-10-16;98.80952380952381;2.319402860572007;96.4901209489518;100.0
2206;2023;43;80;0.9875;89.17721518987342;79;9.79788515342354;2023-10-23;98.75;2.43463934700809;96.31536065299191;100.0
2206;2023;44;84;1.0;67.03571428571429;84;9.434026958761278;2023-10-30;100.0;0.0;100.0;100.0
2206;2023;45;42;0.9761904761904762;68.70731707317073;41;15.871284307831294;2023-11-06;97.61904761904762;4.610776426943653;93.00827119210396;100.0
2206;2024;18;72;0.9166666666666666;104.10606060606061;66;12.766813541210835;2024-04-29;91.66666666666666;6.384177006426336;85.28248966024032;98.050843673093
2206;2024;19;84;0.8214285714285714;85.10144927536231;69;9.112810501719466;2024-05-06;82.14285714285714;8.190441583537076;73.95241555932006;90.33329872639422
2206;2024;20;84;0.9761904761904762;91.46341463414635;82;9.263797141714234;2024-05-13;97.61904761904762;3.260311278026937;94.35873634102069;100.0
